Year,Province,Use of Funds,Expenditure by Provincial/Territorial Government,Expenditure by Public Government,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy
2021,Northwest Territories,Hospitals,"31,03,67,301","31,37,94,777","62,41,62,078",370.1,77.34
2022,Northwest Territories,Hospitals,"33,00,68,586","33,37,48,568","66,38,17,154",360.7,77.5
2023,Northwest Territories,Hospitals,"33,57,01,750","33,96,79,911","67,53,81,661",365.8,77.67
2003,Northwest Territories,Physicians,"3,01,47,589","3,06,68,976","6,08,16,564",273.7,75.58
2004,Northwest Territories,Physicians,"3,41,53,079","3,46,40,234","6,87,93,313",285.8,75.96
2005,Northwest Territories,Physicians,"3,56,98,529","3,63,09,594","7,20,08,122",276.5,76.88
2006,Northwest Territories,Physicians,"3,74,43,063","3,80,49,440","7,54,92,503",231.6,77.8
2007,Northwest Territories,Physicians,"4,01,95,067","4,09,69,824","8,11,64,891",311.1,77.32
2008,Northwest Territories,Physicians,"4,26,62,498","4,32,76,015","8,59,38,513",242,76.44
2009,Northwest Territories,Physicians,"4,59,98,055","4,68,74,618","9,28,72,673",289.5,76.61
2010,Northwest Territories,Physicians,"2,56,03,943","2,66,81,080","5,22,85,023",300.3,76.77
2011,Northwest Territories,Physicians,"1,82,15,476","1,93,53,062","3,75,68,538",310.4,77.59
2012,Northwest Territories,Physicians,"1,63,37,161","1,74,97,039","3,38,34,200",332.4,77.91
2013,Northwest Territories,Physicians,"1,57,27,507","1,67,19,194","3,24,46,701",308.4,77.82
2014,Northwest Territories,Physicians,"1,75,17,912","1,87,33,890","3,62,51,802",376.3,77.65
2015,Northwest Territories,Physicians,"1,82,57,044","1,96,88,324","3,79,45,368",327.7,77.65
2016,Northwest Territories,Physicians,"1,90,91,842","2,05,01,096","3,95,92,938",392.2,77.21
2017,Northwest Territories,Physicians,"1,80,09,219","1,94,03,682","3,74,12,901",414.3,77.11
2018,Northwest Territories,Physicians,"1,74,31,374","1,90,39,560","3,64,70,934",381.7,76.93
2019,Northwest Territories,Physicians,"1,53,88,978","1,70,36,213","3,24,25,191",438.8,77.37
2020,Northwest Territories,Physicians,"1,67,64,793","2,37,88,487","4,05,53,279",337,77
2021,Northwest Territories,Physicians,"1,52,18,221","2,44,73,894","3,96,92,115",370.1,77.34
2022,Northwest Territories,Physicians,"2,37,18,946","3,39,66,626","5,76,85,572",360.7,77.5
2023,Northwest Territories,Physicians,"2,89,27,000","3,95,62,928","6,84,89,928",365.8,77.67
2003,Northwest Territories,Other Professionals,"14,80,634","83,42,238","98,22,871",273.7,75.58
2004,Northwest Territories,Other Professionals,"16,23,903","79,42,406","95,66,308",285.8,75.96
2005,Northwest Territories,Other Professionals,"17,72,416","93,13,154","1,10,85,570",276.5,76.88
2006,Northwest Territories,Other Professionals,"18,34,957","1,06,53,649","1,24,88,606",231.6,77.8
2007,Northwest Territories,Other Professionals,"20,71,166","1,03,99,810","1,24,70,976",311.1,77.32
2008,Northwest Territories,Other Professionals,"24,42,079","1,07,50,027","1,31,92,106",242,76.44
2009,Northwest Territories,Other Professionals,"27,25,843","1,33,99,949","1,61,25,792",289.5,76.61
2010,Northwest Territories,Other Professionals,"25,31,290","1,49,91,879","1,75,23,170",300.3,76.77
2011,Northwest Territories,Other Professionals,"25,13,550","1,42,98,847","1,68,12,397",310.4,77.59
2012,Northwest Territories,Other Professionals,"21,69,709","1,33,68,788","1,55,38,497",332.4,77.91
2013,Northwest Territories,Other Professionals,"23,17,334","1,36,56,500","1,59,73,834",308.4,77.82
2014,Northwest Territories,Other Professionals,"30,13,343","1,34,85,615","1,64,98,959",376.3,77.65
2015,Northwest Territories,Other Professionals,"31,94,443","1,42,00,179","1,73,94,622",327.7,77.65
2016,Northwest Territories,Other Professionals,"28,92,015","1,08,45,793","1,37,37,807",392.2,77.21
2017,Northwest Territories,Other Professionals,"33,29,095","1,03,20,976","1,36,50,071",414.3,77.11
2018,Northwest Territories,Other Professionals,"36,48,744","1,11,60,883","1,48,09,627",381.7,76.93
2019,Northwest Territories,Other Professionals,"39,50,423","1,22,15,709","1,61,66,132",438.8,77.37
2020,Northwest Territories,Other Professionals,"32,71,958","1,35,40,302","1,68,12,259",337,77
2021,Northwest Territories,Other Professionals,"29,01,274","1,65,46,527","1,94,47,801",370.1,77.34
2022,Northwest Territories,Other Professionals,"31,15,632","1,88,69,429","2,19,85,061",360.7,77.5
2023,Northwest Territories,Other Professionals,"32,00,000","1,95,98,056","2,27,98,056",365.8,77.67
2003,Northwest Territories,Drugs,"32,00,294","1,22,57,312","1,54,57,606",273.7,75.58
2004,Northwest Territories,Drugs,"36,09,025","1,18,28,722","1,54,37,747",285.8,75.96
2005,Northwest Territories,Drugs,"37,43,732","99,68,820","1,37,12,552",276.5,76.88
2006,Northwest Territories,Drugs,"42,54,412","1,06,25,117","1,48,79,530",231.6,77.8
2007,Northwest Territories,Drugs,"48,57,065","1,31,99,021","1,80,56,086",311.1,77.32
2008,Northwest Territories,Drugs,"51,31,035","1,37,49,176","1,88,80,210",242,76.44
2009,Northwest Territories,Drugs,"53,85,102","1,51,10,100","2,04,95,202",289.5,76.61
2010,Northwest Territories,Drugs,"62,86,710","1,70,85,089","2,33,71,799",300.3,76.77
2011,Northwest Territories,Drugs,"64,85,131","1,78,94,179","2,43,79,310",310.4,77.59
2012,Northwest Territories,Drugs,"68,84,739","1,81,84,941","2,50,69,680",332.4,77.91
2013,Northwest Territories,Drugs,"65,26,192","1,73,82,026","2,39,08,218",308.4,77.82
2014,Northwest Territories,Drugs,"76,59,638","1,87,13,639","2,63,73,277",376.3,77.65
2015,Northwest Territories,Drugs,"86,72,205","2,17,89,252","3,04,61,457",327.7,77.65
2016,Northwest Territories,Drugs,"83,83,128","1,99,98,850","2,83,81,979",392.2,77.21
2017,Northwest Territories,Drugs,"90,74,425","2,05,53,142","2,96,27,567",414.3,77.11
2018,Northwest Territories,Drugs,"94,41,271","2,13,29,996","3,07,71,268",381.7,76.93
2019,Northwest Territories,Drugs,"1,01,83,169","2,31,62,079","3,33,45,248",438.8,77.37
2020,Northwest Territories,Drugs,"91,28,379","2,27,57,775","3,18,86,154",337,77
2021,Northwest Territories,Drugs,"96,33,481","2,60,42,197","3,56,75,678",370.1,77.34
2022,Northwest Territories,Drugs,"92,36,376","2,80,62,586","3,72,98,961",360.7,77.5
2023,Northwest Territories,Drugs,"90,00,000","2,85,78,105","3,75,78,105",365.8,77.67
2003,Northwest Territories,Public Health,"82,65,815","2,19,76,313","3,02,42,128",273.7,75.58
2004,Northwest Territories,Public Health,"81,31,244","2,23,75,925","3,05,07,169",285.8,75.96
2005,Northwest Territories,Public Health,"76,09,827","2,28,04,113","3,04,13,941",276.5,76.88
2006,Northwest Territories,Public Health,"71,53,710","2,37,39,816","3,08,93,526",231.6,77.8
2007,Northwest Territories,Public Health,"74,39,787","2,63,99,687","3,38,39,473",311.1,77.32
2008,Northwest Territories,Public Health,"81,35,503","2,87,18,874","3,68,54,377",242,76.44
2009,Northwest Territories,Public Health,"77,90,374","4,23,55,716","5,01,46,090",289.5,76.61
2010,Northwest Territories,Public Health,"2,91,72,144","5,96,06,623","8,87,78,767",300.3,76.77
2011,Northwest Territories,Public Health,"3,49,90,918","6,44,59,006","9,94,49,924",310.4,77.59
2012,Northwest Territories,Public Health,"2,82,38,086","5,83,56,992","8,65,95,078",332.4,77.91
2013,Northwest Territories,Public Health,"2,80,99,480","5,90,24,531","8,71,24,011",308.4,77.82
2014,Northwest Territories,Public Health,"3,34,02,032","6,52,42,893","9,86,44,925",376.3,77.65
2015,Northwest Territories,Public Health,"3,62,76,893","6,89,28,377","10,52,05,270",327.7,77.65
2016,Northwest Territories,Public Health,"3,86,25,954","7,34,21,597","11,20,47,550",392.2,77.21
2017,Northwest Territories,Public Health,"4,01,32,685","7,45,38,549","11,46,71,234",414.3,77.11
2018,Northwest Territories,Public Health,"4,10,80,382","7,90,59,084","12,01,39,466",381.7,76.93
2019,Northwest Territories,Public Health,"4,48,55,799","8,51,06,176","12,99,61,976",438.8,77.37
2020,Northwest Territories,Public Health,"2,38,96,660","7,73,05,399","10,12,02,058",337,77
2021,Northwest Territories,Public Health,"1,78,90,591","7,30,70,462","9,09,61,053",370.1,77.34
2022,Northwest Territories,Public Health,"4,18,62,269","10,12,51,112","14,31,13,380",360.7,77.5
2023,Northwest Territories,Public Health,"4,87,29,500","11,01,15,559","15,88,45,059",365.8,77.67
2003,Northwest Territories,Administration,"1,12,93,975","1,40,70,666","2,53,64,641",273.7,75.58
2004,Northwest Territories,Administration,"1,15,30,157","1,46,51,127","2,61,81,284",285.8,75.96
2005,Northwest Territories,Administration,"91,12,519","2,08,41,955","2,99,54,474",276.5,76.88
2006,Northwest Territories,Administration,"90,21,078","2,40,21,320","3,30,42,397",231.6,77.8
2007,Northwest Territories,Administration,"1,01,24,348","2,61,61,540","3,62,85,888",311.1,77.32
2008,Northwest Territories,Administration,"80,62,270","2,44,81,850","3,25,44,119",242,76.44
2009,Northwest Territories,Administration,"73,17,462","1,74,19,640","2,47,37,101",289.5,76.61
2010,Northwest Territories,Administration,"1,66,01,024","2,14,44,043","3,80,45,067",300.3,76.77
2011,Northwest Territories,Administration,"1,98,65,661","2,41,69,631","4,40,35,292",310.4,77.59
2012,Northwest Territories,Administration,"1,94,84,579","2,36,34,366","4,31,18,945",332.4,77.91
2013,Northwest Territories,Administration,"2,16,88,529","2,57,95,415","4,74,83,945",308.4,77.82
2014,Northwest Territories,Administration,"2,48,59,386","2,76,36,477","5,24,95,863",376.3,77.65
2015,Northwest Territories,Administration,"2,64,38,656","2,86,29,582","5,50,68,239",327.7,77.65
2016,Northwest Territories,Administration,"2,84,13,411","3,10,12,640","5,94,26,050",392.2,77.21
2017,Northwest Territories,Administration,"2,65,88,052","2,95,52,278","5,61,40,329",414.3,77.11
2018,Northwest Territories,Administration,"2,06,38,115","2,63,62,756","4,70,00,871",381.7,76.93
2019,Northwest Territories,Administration,"1,88,04,251","3,07,77,582","4,95,81,833",438.8,77.37
2020,Northwest Territories,Administration,"2,12,06,508","4,43,91,484","6,55,97,992",337,77
2021,Northwest Territories,Administration,"2,28,96,731","5,63,05,993","7,92,02,723",370.1,77.34
2022,Northwest Territories,Administration,"2,35,72,223","6,26,13,924","8,61,86,148",360.7,77.5
2023,Northwest Territories,Administration,"2,15,90,250","6,21,93,944","8,37,84,194",365.8,77.67
2003,Northwest Territories,Other Health Spending: Net of HCC,"2,25,75,155","3,12,47,875","5,38,23,030",273.7,75.58
2004,Northwest Territories,Other Health Spending: Net of HCC,"2,38,41,530","3,37,95,793","5,76,37,323",285.8,75.96
2005,Northwest Territories,Other Health Spending: Net of HCC,"2,50,65,066","3,43,83,788","5,94,48,854",276.5,76.88
2006,Northwest Territories,Other Health Spending: Net of HCC,"2,53,95,603","3,66,82,598","6,20,78,201",231.6,77.8
2007,Northwest Territories,Other Health Spending: Net of HCC,"2,68,13,444","3,74,55,886","6,42,69,330",311.1,77.32
2008,Northwest Territories,Other Health Spending: Net of HCC,"3,17,33,248","4,26,27,586","7,43,60,834",242,76.44
2009,Northwest Territories,Other Health Spending: Net of HCC,"3,07,22,098","4,79,78,423","7,87,00,522",289.5,76.61
2010,Northwest Territories,Other Health Spending: Net of HCC,"3,05,79,995","5,05,89,896","8,11,69,891",300.3,76.77
2011,Northwest Territories,Other Health Spending: Net of HCC,"3,46,06,286","5,62,57,814","9,08,64,100",310.4,77.59
2012,Northwest Territories,Other Health Spending: Net of HCC,"3,75,84,281","6,24,99,294","10,00,83,576",332.4,77.91
2013,Northwest Territories,Other Health Spending: Net of HCC,"3,35,13,313","6,57,83,280","9,92,96,592",308.4,77.82
2014,Northwest Territories,Other Health Spending: Net of HCC,"3,38,26,948","6,78,32,192","10,16,59,140",376.3,77.65
2015,Northwest Territories,Other Health Spending: Net of HCC,"3,61,15,942","7,19,69,490","10,80,85,431",327.7,77.65
2016,Northwest Territories,Other Health Spending: Net of HCC,"3,92,25,319","7,87,72,706","11,79,98,025",392.2,77.21
2017,Northwest Territories,Other Health Spending: Net of HCC,"4,23,39,047","8,81,18,673","13,04,57,720",414.3,77.11
2018,Northwest Territories,Other Health Spending: Net of HCC,"4,33,97,310","9,21,26,159","13,55,23,469",381.7,76.93
2019,Northwest Territories,Other Health Spending: Net of HCC,"4,30,08,588","9,70,91,126","14,00,99,714",438.8,77.37
2020,Northwest Territories,Other Health Spending: Net of HCC,"4,30,23,456","10,35,62,066","14,65,85,522",337,77
2021,Northwest Territories,Other Health Spending: Net of HCC,"4,06,50,351","10,15,11,350","14,21,61,701",370.1,77.34
2022,Northwest Territories,Other Health Spending: Net of HCC,"4,96,34,487","11,61,54,943","16,57,89,430",360.7,77.5
2023,Northwest Territories,Other Health Spending: Net of HCC,"5,31,01,755","12,24,12,917","17,55,14,672",365.8,77.67
2003,Northwest Territories,COVID-19 Response Funding,—,—,0,273.7,75.58
2004,Northwest Territories,COVID-19 Response Funding,—,—,0,285.8,75.96
2005,Northwest Territories,COVID-19 Response Funding,—,—,0,276.5,76.88
2006,Northwest Territories,COVID-19 Response Funding,—,—,0,231.6,77.8
2007,Northwest Territories,COVID-19 Response Funding,—,—,0,311.1,77.32
2008,Northwest Territories,COVID-19 Response Funding,—,—,0,242,76.44
2009,Northwest Territories,COVID-19 Response Funding,—,—,0,289.5,76.61
2010,Northwest Territories,COVID-19 Response Funding,—,—,0,300.3,76.77
2011,Northwest Territories,COVID-19 Response Funding,—,—,0,310.4,77.59
2012,Northwest Territories,COVID-19 Response Funding,—,—,0,332.4,77.91
2013,Northwest Territories,COVID-19 Response Funding,—,—,0,308.4,77.82
2014,Northwest Territories,COVID-19 Response Funding,—,—,0,376.3,77.65
2015,Northwest Territories,COVID-19 Response Funding,—,—,0,327.7,77.65
2016,Northwest Territories,COVID-19 Response Funding,—,—,0,392.2,77.21
2017,Northwest Territories,COVID-19 Response Funding,—,—,0,414.3,77.11
2018,Northwest Territories,COVID-19 Response Funding,—,—,0,381.7,76.93
2019,Northwest Territories,COVID-19 Response Funding,—,—,0,438.8,77.37
2020,Northwest Territories,COVID-19 Response Funding,"4,84,94,162","6,39,01,565","11,23,95,727",337,77
2021,Northwest Territories,COVID-19 Response Funding,"6,49,74,577","7,90,77,426","14,40,52,004",370.1,77.34
2022,Northwest Territories,COVID-19 Response Funding,"1,62,69,952","1,93,30,199","3,56,00,151",360.7,77.5
2023,Northwest Territories,COVID-19 Response Funding,—,—,0,365.8,77.67
2003,Northwest Territories,Total,"19,13,02,883","23,35,01,788","42,48,04,671",273.7,75.58
2004,Northwest Territories,Total,"21,11,17,881","25,39,34,976","46,50,52,857",285.8,75.96
2005,Northwest Territories,Total,"21,72,71,005","26,84,43,930","48,57,14,936",276.5,76.88
2006,Northwest Territories,Total,"22,68,84,362","28,61,23,055","51,30,07,417",231.6,77.8
2007,Northwest Territories,Total,"25,45,05,098","31,80,93,241","57,25,98,338",311.1,77.32
2008,Northwest Territories,Total,"27,50,36,656","34,11,86,700","61,62,23,356",242,76.44
2009,Northwest Territories,Total,"28,99,42,817","37,39,05,703","66,38,48,521",289.5,76.61
2010,Northwest Territories,Total,"31,88,01,539","39,89,85,026","71,77,86,565",300.3,76.77
2011,Northwest Territories,Total,"35,17,69,492","43,23,01,420","78,40,70,911",310.4,77.59
2012,Northwest Territories,Total,"36,60,66,652","44,99,49,462","81,60,16,114",332.4,77.91
2013,Northwest Territories,Total,"41,19,09,842","49,71,98,644","90,91,08,486",308.4,77.82
2014,Northwest Territories,Total,"44,29,31,927","52,88,34,267","97,17,66,194",376.3,77.65
2015,Northwest Territories,Total,"47,18,89,031","56,23,01,164","1,03,41,90,195",327.7,77.65
2016,Northwest Territories,Total,"52,57,51,896","61,74,37,772","1,14,31,89,667",392.2,77.21
2017,Northwest Territories,Total,"50,44,96,494","60,08,09,950","1,10,53,06,444",414.3,77.11
2018,Northwest Territories,Total,"53,18,31,277","63,89,90,857","1,17,08,22,134",381.7,76.93
2019,Northwest Territories,Total,"54,34,14,618","66,38,11,090","1,20,72,25,707",438.8,77.37
2020,Northwest Territories,Total,"57,30,51,735","75,04,35,278","1,32,34,87,013",337,77
2021,Northwest Territories,Total,"60,88,78,561","80,91,90,749","1,41,80,69,310",370.1,77.34
2022,Northwest Territories,Total,"63,05,24,099","84,07,25,434","1,47,12,49,532",360.7,77.5
2023,Northwest Territories,Total,"63,88,11,250","85,39,99,907","1,49,28,11,157",365.8,77.67
2003,Nunavut,Hospitals,"9,31,49,952","9,35,06,441","18,66,56,393",254.9,70.09
2004,Nunavut,Hospitals,"10,26,93,680","10,29,61,022","20,56,54,702",260.7,70.14
2005,Nunavut,Hospitals,"11,32,17,930","11,34,99,606","22,67,17,535",247.3,70.99
2006,Nunavut,Hospitals,"12,77,64,093","12,81,20,156","25,58,84,249",210.9,71.74
2007,Nunavut,Hospitals,"13,00,34,194","13,02,68,288","26,03,02,482",175.2,71.7
2008,Nunavut,Hospitals,"12,73,15,472","12,76,46,355","25,49,61,827",172.4,71.25
2009,Nunavut,Hospitals,"13,94,83,028","13,98,37,961","27,93,20,988",168.7,71.08
2010,Nunavut,Hospitals,"14,28,73,515","14,31,50,891","28,60,24,407",179.9,71.53
2011,Nunavut,Hospitals,"14,91,88,933","14,96,40,546","29,88,29,479",175.5,71.25
2012,Nunavut,Hospitals,"15,94,29,518","16,00,94,434","31,95,23,951",158.7,71.65
2013,Nunavut,Hospitals,"16,62,46,505","16,65,48,688","33,27,95,194",184,70.21
2014,Nunavut,Hospitals,"17,14,20,514","17,16,96,227","34,31,16,741",180.7,70.73
2015,Nunavut,Hospitals,"18,03,65,756","18,07,08,689","36,10,74,445",191.8,71
2016,Nunavut,Hospitals,"19,33,38,944","19,36,58,151","38,69,97,096",175.8,71.66
2017,Nunavut,Hospitals,"21,07,21,420","21,09,19,815","42,16,41,235",225.7,71.74
2018,Nunavut,Hospitals,"22,79,62,381","22,82,05,140","45,61,67,521",195.7,71.13
2019,Nunavut,Hospitals,"24,98,12,855","25,02,46,624","50,00,59,479",167.4,70.63
2020,Nunavut,Hospitals,"25,06,92,846","25,28,67,299","50,35,60,145",177.3,70.74
2021,Nunavut,Hospitals,"26,51,59,834","26,79,79,006","53,31,38,840",174.6,70.45
2022,Nunavut,Hospitals,"30,13,15,478","30,43,62,003","60,56,77,481",160.3,71.14
2023,Nunavut,Hospitals,"32,32,80,622","32,65,86,252","64,98,66,874",155.7,71.25
2003,Nunavut,Physicians,"2,44,97,910","2,47,92,841","4,92,90,751",254.9,70.09
2004,Nunavut,Physicians,"2,61,43,402","2,63,95,799","5,25,39,201",260.7,70.14
2005,Nunavut,Physicians,"2,86,17,278","2,89,45,476","5,75,62,754",247.3,70.99
2006,Nunavut,Physicians,"3,09,55,758","3,13,40,183","6,22,95,940",210.9,71.74
2007,Nunavut,Physicians,"3,01,07,456","3,06,06,523","6,07,13,979",175.2,71.7
2008,Nunavut,Physicians,"2,10,96,246","2,14,56,650","4,25,52,896",172.4,71.25
2009,Nunavut,Physicians,"1,90,56,425","1,95,97,954","3,86,54,379",168.7,71.08
2010,Nunavut,Physicians,"2,02,39,461","2,09,24,657","4,11,64,118",179.9,71.53
2011,Nunavut,Physicians,"2,08,93,965","2,16,41,396","4,25,35,361",175.5,71.25
2012,Nunavut,Physicians,"2,22,40,586","2,30,20,169","4,52,60,755",158.7,71.65
2013,Nunavut,Physicians,"2,36,96,535","2,43,72,327","4,80,68,861",184,70.21
2014,Nunavut,Physicians,"2,47,85,668","2,56,24,481","5,04,10,149",180.7,70.73
2015,Nunavut,Physicians,"2,72,69,675","2,82,83,913","5,55,53,588",191.8,71
2016,Nunavut,Physicians,"2,78,19,676","2,88,30,707","5,66,50,383",175.8,71.66
2017,Nunavut,Physicians,"2,83,16,537","2,93,21,299","5,76,37,836",225.7,71.74
2018,Nunavut,Physicians,"2,81,95,670","2,93,24,414","5,75,20,084",195.7,71.13
2019,Nunavut,Physicians,"2,94,59,907","3,06,80,658","6,01,40,565",167.4,70.63
2020,Nunavut,Physicians,"3,07,22,595","3,66,54,689","6,73,77,284",177.3,70.74
2021,Nunavut,Physicians,"3,38,81,633","4,17,98,856","7,56,80,489",174.6,70.45
2022,Nunavut,Physicians,"3,83,92,857","4,72,42,450","8,56,35,306",160.3,71.14
2023,Nunavut,Physicians,"4,10,36,703","5,02,40,705","9,12,77,408",155.7,71.25
2003,Nunavut,Other Professionals,"18,87,758","87,20,601","1,06,08,359",254.9,70.09
2004,Nunavut,Other Professionals,"19,48,539","1,16,01,961","1,35,50,500",260.7,70.14
2005,Nunavut,Other Professionals,"22,29,052","1,14,53,295","1,36,82,346",247.3,70.99
2006,Nunavut,Other Professionals,"23,77,765","1,03,50,620","1,27,28,385",210.9,71.74
2007,Nunavut,Other Professionals,"24,27,206","1,28,19,666","1,52,46,872",175.2,71.7
2008,Nunavut,Other Professionals,"30,91,851","1,38,40,551","1,69,32,402",172.4,71.25
2009,Nunavut,Other Professionals,"36,44,809","1,27,75,144","1,64,19,953",168.7,71.08
2010,Nunavut,Other Professionals,"27,03,663","1,20,80,764","1,47,84,427",179.9,71.53
